samples	000013400	000014292	000012327	000012097	000009320	000013103	000013806	000014207	000012051	000010146	000014243	000004536	000011591	000014149	000008329	000004884	000009181	000010245	000009978	000010902	000005751	000009098	000009762	000013746	000010247	000009765	000001518	000007599	000009255	000010454	000001522	000007077	000013188	000013896	000012328	000000044	000010754	000004128	000000797	000005753	000012287	000000022	000011089	000000031	000010572	000013678	000011949	000011772	000010953	000000427	000011320	000011948	000010952	000002758	000009982	000009256	000000014	000003958	000008243	000013101	000003159	000009657	000003167	000005311	000005159	000010796	000010338	000013160	000012229	000001383	000005944	000000060	000009531	000007083	000007973	000003173	000012151	000010523	000001530	000003778	000012501	000013548	000012330	000002710	000012589	000011392	000007509	000014462	000010459	000005310	000011771	000013899	000002100	000013247	000012288	000007179	000012500	000000636	000001712	000010649	000013679	000012941	000008897	000002943	000002348	000000431	000003161	000013948	000007375	000004717	000008714	000011042	000005552	000000803	000009848	000004135	000004125	000011394	000007184	000002110	000000800	000001718	000013618	000002936	000000433	000000047	000014118	000007671	000001701	000002723	000009379	000010039	000008968	000003780	000001517	000013338	000004133	000008966	000000032	000013983	000000061	000008711	000009473	000000429	000013341	000010456	000005321	000003162	000002333	000005169	000010339	000014029	000009656	000011637	000013466	000010716	000000633	000007786	000009766	000010951	000003178	000001707	000002337	000009035	000002105	000014073	000013657	000014496	000001392	000005323	000000445	000007516	000001534	000003176	000000641	000007378	000000447	000002727	000007790	000001720	000013289	000013290	000006439	000008079	000010906	000005959	000011729	000002326	000003781	000001527	000009183	000007676	000014463	000004716	000007796	000012790	000003407	000013468	000011000	000010574	000006652	000014031	000003954	000010840	000001175	000000432	000012733	000004889	000011853	000012991	000001726	000008896	000010836	000005028	000005555	000008716	000001002	000008076	000012830	000003953	000005175	000002330	000010398	000012399	000002736	000001722	000005769	000005571	000008557	000012056	000009847	000008560	000003187	000009045	000009100	000013248	000005558	000004721	000009660	000008892	000001520	000009853	000011326	000006672	000012732	000000817	000009846	000013807	000012444	000009769	000003535	000009322	000003538	000005560	000007088	000010457	000014447	000014392	000009610	000012148	000013425	000011323	000006659	000012595	000011850	000007178	000007975	000003189	000012993	000008077	000012152	000005556	000005771	000011090	000010753	000001174	000006654	000014119	000011890	000005581	000005328	000013162	000012503	000009534	000012902	000005173	000004727	000012789	000010223	000012230	000008184	000011593	000011218	000013547	000001384	000001521	000005317	000012788	000010147	000002959	000014354	000003406	000011148	000002115	000006123	000014390	000010249	000009981	000009985	000013465	000001188	000009612	000010402	000009470	000012826	000011044	000006307	000014356	000014247	000011043	000010038	000001020	000014030	000010403	000005965	000007181	000009182	000005587	000013617	000012900	000003404	000002113	000010794	000008330	000011636	000013509	000002101	000014529	000012594	000010717	000013593	000012014	000005761	000010650	000006426	000010524	000002332	000012669	000001708	000005036	000003198	000008376	000013717	000009703	000013102	000003156	000012668	000005579	000012157	000014156	000010835	000013895	000010258	000001173	000001176	000011324	000013037	000002109	000013747	000014448	000009034	000004888	000009385	000007789	000013404	000004547	000006437	000013035	000002567	000004332	000014245	000009032	000002343	000010107	000014296	000007605	000012013	000009586	000001994	000003978	000010145	000001717	000012398	000008632	000014497	000013714	000013426	000014495	000011395	000012290	000008250	000013810	000012946	000013949	000011001	000011091	000014209	000013984	000013594	000009587	000012899	000013507	000006663	000003558	000011489	000012591	000010108	000011892	000009702	000011776	000008185	000003180	000009259	000001724	000008188	000006880	000003540	000010525	000011155	000008805	000010801	000014526	000014072	000013616	000011731	000013191	000012098
WA_A_BOUV_GL_7580	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	7	3	1	0	25	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	120	0	1	0	14	0	0	0	0	1	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	59	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	19	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
WA_A_BOUV_GL_7581	70	66	1	0	0	0	0	5	0	0	0	1007	0	0	0	8	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	0	0	0	0	0	0	33	0	0	0	0	15	0	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	21	0	0	0	52	11	0	0	0	0	0	11	330	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	88	0	0	80	0	0	112	20	0	0	0	10	25	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	6	0	0	0	0	0	35	0	0	0	0	0	41	0	0	0	23	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	16	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	9	0	23	0	2093	0	10	0	10	0	0	0	0	21	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	12	0	20	0	0	0	0	30	0	0	0	0	0	6	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	44	0	0	4	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	1	0	0	0	0	0	0	0
WA_A_BOUV_GL_7582	9001	0	0	0	0	0	49	0	0	0	2	1581	0	0	44	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7826	0	0	0	0	0	0	0	93	0	0	0	0	42	0	0	1294	0	0	1	0	0	0	0	0	0	0	0	0	0	1097	2	0	0	0	134	0	0	0	146	0	0	0	70	0	0	9	155	0	0	0	22	0	0	2	0	54	0	0	156	34	0	0	0	0	0	0	0	45	0	0	878	0	0	449	0	0	0	0	0	95	0	0	0	0	0	0	0	137	1	0	0	0	0	0	0	0	0	64	0	161	0	0	41	0	0	1	0	0	46	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	1	30	0	0	0	0	0	0	0	81	0	0	0	0	930	0	0	0	0	80	0	0	0	0	0	0	0	4	294	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	60	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	3864	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	61	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	1	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	39	0	0	0	0	0	0	0	11	0	0	20	0	0	0	0	0	0	0	0	0	40	0	0	0	59	66	0	0	0	77	19	0	25	4	0	2	0	0	0	0	146	0	0	0	0	0	0	25	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
WA_A_BOUV_GL_7583	6	2	0	0	0	0	289	1	0	0	0	2479	16	0	8	4	2	9	0	151	0	1	1	54	0	0	0	0	2	9	1	0	0	110	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	240	0	0	0	0	0	0	0	0	0	0	2	0	3	370	0	0	0	0	36	0	0	0	55	19	0	0	5	0	0	6	907	6	0	0	1	0	0	200	0	25	0	0	1	40	0	0	0	0	0	0	0	322	0	0	47	0	0	1618	0	0	0	0	0	84	0	0	0	0	0	0	8	24	28	8	0	0	0	0	0	0	0	343	8	0	0	0	115	0	0	0	0	0	327	0	0	0	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	17	23	0	0	1	0	0	0	0	0	0	0	0	11	669	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	13	0	0	0	0	0	0	1	0	0	0	0	4	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	8	0	0	0	0	0	0	0	0	8	0	3	0	3	8	152	0	0	0	0	0	0	2	0	0	0	0	0	24	0	10	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	53	0	746	0	0	0	0	30	0	0	0	0	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	316	1	0	13	0	0	5	19	0	1	0	0	4	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	18	0	0	0
WA_A_BOUV_GL_7584	2228	64	0	0	0	0	0	0	1	0	1	1845	0	0	0	45	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	703	0	0	0	0	85	0	0	0	91	35	0	0	0	0	0	20	0	1	0	0	13	0	1	6	0	494	0	0	122	23	0	0	0	0	0	0	0	277	0	0	568	0	0	434	0	1	0	0	0	75	0	11	0	0	0	0	0	203	61	25	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	79	0	0	0	0	0	0	0	0	0	0	0	0	916	0	0	0	0	45	0	0	0	0	0	0	0	98	22	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	309	0	0	147	0	0	0	0	0	0	24	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	20	0	0	0	0	0	0	2	0	17	0	1436	0	0	0	4	0	0	0	0	19	0	29	0	0	0	0	0	0	0	12	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	50	0	0	0	0	1	0	0	0	148	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	1	1	0	0	0	0	158	0	27	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	59	0	549	0	2	0	0	0	0	0
WA_A_BOUV_GL_7585	87	0	0	0	0	0	0	1	0	0	0	333	0	0	1	0	0	4	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	65	0	0	7	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	3	0	0	0	20	3	0	0	0	0	0	3	22	0	0	0	0	0	0	23	0	0	0	0	8	0	0	0	0	0	0	0	0	98	4	0	0	0	0	59	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	1	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	114	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	36	0	0	0	459	0	0	0	20	0	0	0	0	16	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	50	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	51	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
WA_A_BOUV_GL_7586	0	5	0	0	0	0	299	0	0	0	0	1739	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	521	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	29	0	0	4	0	0	0	0	0	0	0	0	0	0	675	1	0	0	0	25	0	0	0	65	0	0	0	7	0	0	13	21	2	0	0	11	0	0	39	0	198	0	0	74	319	0	0	0	0	0	0	2	497	0	0	395	0	0	1895	0	0	0	0	0	33	0	0	0	0	0	0	0	84	0	23	0	0	7	2	0	0	0	61	0	0	0	0	180	0	0	0	0	0	2465	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	38	20	0	0	0	0	0	0	0	0	0	0	0	8	781	0	0	0	0	24	0	0	0	0	0	3	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	9	23	0	621	0	22	26	0	1	0	0	0	0	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	4	0	0	17	0	0	341	0	0	0	0	0	0	0	0	0	1	0	14	0	6126	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	29	14	0	39	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	10	209	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	602	0	45	0	1235	25	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	9	15	1	0	6	0	0	0	19	1	6	0	0	0	0	24	0	39	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2267	0	0	0	23	0	0	0
WA_A_BOUV_GL_7587	0	0	0	0	0	1	0	25	0	0	0	1129	2	0	233	201	0	0	0	1	0	0	0	24	0	0	0	0	0	0	23	0	0	149	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	466	0	0	0	0	428	0	0	0	150	0	0	0	47	0	0	9	0	28	0	0	0	0	0	208	0	13	0	0	99	0	0	0	0	0	0	0	0	0	0	0	1453	0	0	114	0	0	0	0	0	168	0	0	0	0	0	0	0	16	14	0	0	0	0	0	26	0	0	0	0	0	0	0	1295	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	23	0	0	0	0	0	0	0	0	0	0	1129	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	204	0	0	57	0	0	0	0	0	0	34	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	87	105	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	119	0	33	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	45	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	21	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0
WA_A_BOUV_GL_7588	252	0	0	0	0	0	0	0	0	0	0	140	0	0	0	2	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	513	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	37	0	0	0	22	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	36	0	0	0	0	0	0	0	4	0	0	30	0	0	18	11	0	0	0	0	8	0	0	0	0	0	0	0	5	0	0	0	6	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	8	0	0	0	1	69	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	22	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	531	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	11	0	1	0	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WA_A_BOUV_GL_7639	1404	51	0	0	0	0	0	0	0	0	0	1024	0	0	366	882	0	0	3	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	241	0	0	0	0	35	0	0	0	0	21	0	0	0	141	0	0	0	46	0	0	0	133	0	0	0	1	0	0	0	0	64	0	0	45	20	0	0	0	0	0	0	0	299	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	11	0	14	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	106	0	0	0	0	0	1376	0	78	1	0	30	0	177	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WA_A_BOUV_GL_7640	872	139	0	0	0	0	0	0	0	0	0	5429	0	0	414	425	0	19	0	1	0	0	0	80	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	196	0	0	0	0	0	0	0	0	109	0	0	0	0	204	0	0	0	0	0	0	0	0	40	8	0	0	2	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	36	0	0	255	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	31	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	14	0	0	159	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	12	0	0	20	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	4	0	0	0	0	0	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	13	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	7	0	0	0	0	0	0	0	2	0	0	0	0	0	8	0	0	0	34	0	0	0	0	0	0	37	0	4	14	0	420	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	665	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	94	0	0	0	0	0	11	0	0	0
WA_A_BOUV_GL_7642	5003	158	0	0	0	0	0	101	0	0	0	419	0	0	811	1349	0	2	0	6	0	0	0	27	0	0	0	0	0	0	0	0	0	291	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0	553	0	0	0	0	90	0	0	0	0	15	0	0	0	153	1	0	0	0	0	0	10	50	0	0	0	0	0	0	3	0	4	0	0	26	10	0	0	0	0	0	0	0	9	0	0	30	0	0	255	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	1	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	66	0	0	0	0	23	0	0	0	0	0	0	32	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	5	0	0	0	3	1	0	0	2570	6	0	12	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	2	47	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	28	0	0	0
WA_A_BOUV_GL_7643	2018	28	0	0	0	0	0	4	0	0	0	174	0	0	171	697	0	4	0	1	0	0	0	46	0	0	0	0	0	0	1	0	0	13	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	30	0	0	0	0	0	0	0	0	123	0	0	0	0	66	0	0	0	0	11	0	0	0	8	1	0	0	0	0	0	0	4	0	0	0	0	0	0	5	0	18	0	0	3	0	0	0	0	0	0	0	0	67	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	6	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	8	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	17	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	22	0	0	0	0	0	35	0	45	0	0	40	0	6	0	0	0	2	0	0	6	0	0	0	0	0	0	0	1558	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	2	0	0	0
